overall_rank,country,score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,region
1,Finland,7.769,1.340,1.587,0.986,0.596,0.153,0.393,Europe
3,Norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341,Europe
5,Netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298,Europe
6,Switzerland,7.480,1.452,1.526,1.052,0.572,0.263,0.343,Europe
9,Canada,7.278,1.365,1.505,1.039,0.584,0.285,0.308,North America
14,Luxembourg,7.090,1.609,1.479,1.012,0.526,0.194,0.316,Europe
12,Costa Rica,7.167,1.034,1.441,0.963,0.558,0.144,0.093,Latin America
19,United States,6.892,1.433,1.457,0.874,0.454,0.280,0.128,North America
24,France,6.592,1.324,1.472,1.045,0.436,0.111,0.183,Europe
23,Mexico,6.595,1.070,1.323,0.861,0.433,0.074,0.073,Latin America
32,Brazil,6.300,1.004,1.439,0.802,0.390,0.099,0.086,Latin America
93,China,5.191,1.029,1.125,0.893,0.521,0.058,0.100,Asia
140,India,4.015,0.755,0.765,0.588,0.498,0.200,0.085,Asia
134,Ethiopia,4.286,0.336,1.033,0.532,0.344,0.209,0.100,Africa
156,South Sudan,2.853,0.306,0.575,0.295,0.010,0.202,0.091,Africa
